id,nombre,provincia,partido,periodoLegal,periodoReal,reemplazo,observaciones,foto,email,telefono,redes,partido_normalizado,rol_provincial,abstenciones,ausencias,lev.vot.,votos_negativos,votos_afirmativos,votos_total,participation_pct
563,"Olivera Lucero, Bruno Antonio",San Juan,Alianza la Libertad Avanza,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/563.gif,,,,La Libertad Avanza,Primera Minoría,1,0,0.0,7,117,125,60.1
561,"Uñac, Sergio Mauricio",San Juan,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/561.gif,,,,Unión por la Patria,Mayoría,1,2,0.0,77,45,125,59.13
564,"Abdala, Bartolomé Esteban",San Luis,Alianza la Libertad Avanza,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/564.gif,,,,La Libertad Avanza,Mayoría,1,0,0.0,7,117,125,60.1
565,"Arrascaeta, Ivanna Marcela",San Luis,Alianza la Libertad Avanza,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/565.gif,,,,La Libertad Avanza,Mayoría,2,2,0.0,6,115,125,59.13
566,"Salino, Fernando Aldo",San Luis,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/566.gif,,,,Unión por la Patria,Primera Minoría,1,1,0.0,86,37,125,59.62
567,"Carambia, José María",Santa Cruz,Alianza por Santa Cruz,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/567.gif,,,,Alianza por Santa Cruz,Mayoría,1,8,0.0,55,61,125,56.25
568,"Gadano, Natalia Elena",Santa Cruz,Alianza por Santa Cruz,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/568.gif,,,,Alianza por Santa Cruz,Mayoría,1,2,0.0,55,67,125,59.13
366,"Kirchner, Alicia Margarita Antonia",Santa Cruz,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/366.gif,,,,Unión por la Patria,Primera Minoría,1,0,0.0,87,37,125,60.1
573,"Galaretto, Eduardo Horacio",Santa Fe,Juntos por el Cambio,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/573.gif,,,,Unión Cívica Radical,Mayoría,0,1,0.0,5,119,125,59.62
536,"Losada, Carolina",Santa Fe,Juntos por el Cambio,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/536.gif,,,,Unión Cívica Radical,Mayoría,0,0,0.0,5,120,125,60.1
