fecha,tipo,nro_sesion,nro_reunion,url
20-11-2018,ESPECIAL EN MINORÍA,04,18,https://www.senado.gov.ar/parlamentario/sesiones/20-11-2018/18/downloadTac
14-11-2018,ESPECIAL,07,17,https://www.senado.gov.ar/parlamentario/sesiones/14-11-2018/17/downloadTac
10-10-2018,ORDINARIA,05,16,https://www.senado.gov.ar/parlamentario/sesiones/10-10-2018/16/downloadTac
05-09-2018,ESPECIAL EN MINORÍA,03,15,https://www.senado.gov.ar/parlamentario/sesiones/05-09-2018/15/downloadTac
29-08-2018,ESPECIAL EN MINORÍA,02,14,https://www.senado.gov.ar/parlamentario/sesiones/29-08-2018/14/downloadTac
22-08-2018,ESPECIAL,06,13,https://www.senado.gov.ar/parlamentario/sesiones/22-08-2018/13/downloadTac
15-08-2018,ESPECIAL EN MINORÍA,01,12,https://www.senado.gov.ar/parlamentario/sesiones/15-08-2018/12/downloadTac
09-08-2018,ESPECIAL EN MINORÍA,01,11,https://www.senado.gov.ar/parlamentario/sesiones/09-08-2018/11/downloadTac
08-08-2018,ESPECIAL,05,10,https://www.senado.gov.ar/parlamentario/sesiones/08-08-2018/10/downloadTac
04-07-2018,ORDINARIA,04,09,https://www.senado.gov.ar/parlamentario/sesiones/04-07-2018/09/downloadTac
27-06-2018,INFORMATIVA ESPECIAL,04,08,https://www.senado.gov.ar/parlamentario/sesiones/27-06-2018/08/downloadTac
27-06-2018,ORDINARIA,03,07,https://www.senado.gov.ar/parlamentario/sesiones/27-06-2018/07/downloadTac
30-05-2018,ESPECIAL,03,06,https://www.senado.gov.ar/parlamentario/sesiones/30-05-2018/06/downloadTac
25-04-2018,INFORMATIVA ESPECIAL,02,05,https://www.senado.gov.ar/parlamentario/sesiones/25-04-2018/05/downloadTac
25-04-2018,ESPECIAL,01,04,https://www.senado.gov.ar/parlamentario/sesiones/25-04-2018/04/downloadTac
18-04-2018,ORDINARIA,02,03,https://www.senado.gov.ar/parlamentario/sesiones/18-04-2018/03/downloadTac
21-03-2018,ORDINARIA,01,02,https://www.senado.gov.ar/parlamentario/sesiones/21-03-2018/02/downloadTac
01-03-2018,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2018/00/downloadTac
28-02-2018,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/28-02-2018/01/downloadTac
27-12-2017,EXTRAORDINARIA,01,19,https://www.senado.gov.ar/parlamentario/sesiones/27-12-2017/19/downloadTac
29-11-2017,ESPECIAL,11,17,https://www.senado.gov.ar/parlamentario/sesiones/29-11-2017/17/downloadTac
29-11-2017,ORDINARIA,05,18,https://www.senado.gov.ar/parlamentario/sesiones/29-11-2017/18/downloadTac
22-11-2017,ESPECIAL EN MINORÍA,00,16,https://www.senado.gov.ar/parlamentario/sesiones/22-11-2017/16/downloadTac
01-11-2017,INFORMATIVA ESPECIAL,10,15,https://www.senado.gov.ar/parlamentario/sesiones/01-11-2017/15/downloadTac
01-11-2017,ESPECIAL,09,14,https://www.senado.gov.ar/parlamentario/sesiones/01-11-2017/14/downloadTac
27-09-2017,ESPECIAL,08,13,https://www.senado.gov.ar/parlamentario/sesiones/27-09-2017/13/downloadTac
07-09-2017,ORDINARIA,04,12,https://www.senado.gov.ar/parlamentario/sesiones/07-09-2017/12/downloadTac
06-09-2017,INFORMATIVA ESPECIAL,07,11,https://www.senado.gov.ar/parlamentario/sesiones/06-09-2017/11/downloadTac
23-08-2017,ORDINARIA,03,10,https://www.senado.gov.ar/parlamentario/sesiones/23-08-2017/10/downloadTac
12-07-2017,ESPECIAL,06,09,https://www.senado.gov.ar/parlamentario/sesiones/12-07-2017/09/downloadTac
28-06-2017,INFORMATIVA ESPECIAL,05,08,https://www.senado.gov.ar/parlamentario/sesiones/28-06-2017/08/downloadTac
31-05-2017,ORDINARIA,02,07,https://www.senado.gov.ar/parlamentario/sesiones/31-05-2017/07/downloadTac
10-05-2017,ESPECIAL,04,06,https://www.senado.gov.ar/parlamentario/sesiones/10-05-2017/06/downloadTac
09-05-2017,REUNIÓN CONJ.AMBAS CÁMARAS,00,00,https://www.senado.gov.ar/parlamentario/sesiones/09-05-2017/00/downloadTac
26-04-2017,ESPECIAL,03,05,https://www.senado.gov.ar/parlamentario/sesiones/26-04-2017/05/downloadTac
25-04-2017,INFORMATIVA ESPECIAL,02,04,https://www.senado.gov.ar/parlamentario/sesiones/25-04-2017/04/downloadTac
25-04-2017,ESPECIAL,01,03,https://www.senado.gov.ar/parlamentario/sesiones/25-04-2017/03/downloadTac
29-03-2017,ORDINARIA,01,02,https://www.senado.gov.ar/parlamentario/sesiones/29-03-2017/02/downloadTac
01-03-2017,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2017/00/downloadTac
21-02-2017,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/21-02-2017/01/downloadTac
21-12-2016,EXTRAORDINARIA,02,22,https://www.senado.gov.ar/parlamentario/sesiones/21-12-2016/22/downloadTac
14-12-2016,EXTRAORDINARIA,01,21,https://www.senado.gov.ar/parlamentario/sesiones/14-12-2016/21/downloadTac
30-11-2016,ORDINARIA,10,20,https://www.senado.gov.ar/parlamentario/sesiones/30-11-2016/20/downloadTac
23-11-2016,ORDINARIA,09,19,https://www.senado.gov.ar/parlamentario/sesiones/23-11-2016/19/downloadTac
16-11-2016,ORDINARIA,08,18,https://www.senado.gov.ar/parlamentario/sesiones/16-11-2016/18/downloadTac
02-11-2016,ORDINARIA,07,17,https://www.senado.gov.ar/parlamentario/sesiones/02-11-2016/17/downloadTac
19-10-2016,ORDINARIA,06,16,https://www.senado.gov.ar/parlamentario/sesiones/19-10-2016/16/downloadTac
28-09-2016,INFORMATIVA ESPECIAL,09,15,https://www.senado.gov.ar/parlamentario/sesiones/28-09-2016/15/downloadTac
21-09-2016,ESPECIAL,08,14,https://www.senado.gov.ar/parlamentario/sesiones/21-09-2016/14/downloadTac
07-09-2016,ORDINARIA,05,13,https://www.senado.gov.ar/parlamentario/sesiones/07-09-2016/13/downloadTac
10-08-2016,ORDINARIA,04,12,https://www.senado.gov.ar/parlamentario/sesiones/10-08-2016/12/downloadTac
13-07-2016,ORDINARIA,03,11,https://www.senado.gov.ar/parlamentario/sesiones/13-07-2016/11/downloadTac
29-06-2016,ESPECIAL,07,10,https://www.senado.gov.ar/parlamentario/sesiones/29-06-2016/10/downloadTac
15-06-2016,ESPECIAL,06,09,https://www.senado.gov.ar/parlamentario/sesiones/15-06-2016/09/downloadTac
08-06-2016,ORDINARIA,02,08,https://www.senado.gov.ar/parlamentario/sesiones/08-06-2016/08/downloadTac
01-06-2016,INFORMATIVA ESPECIAL,05,07,https://www.senado.gov.ar/parlamentario/sesiones/01-06-2016/07/downloadTac
01-06-2016,ESPECIAL,04,06,https://www.senado.gov.ar/parlamentario/sesiones/01-06-2016/06/downloadTac
18-05-2016,ESPECIAL,03,05,https://www.senado.gov.ar/parlamentario/sesiones/18-05-2016/05/downloadTac
27-04-2016,ESPECIAL,02,04,https://www.senado.gov.ar/parlamentario/sesiones/27-04-2016/04/downloadTac
30-03-2016,ESPECIAL,01,03,https://www.senado.gov.ar/parlamentario/sesiones/30-03-2016/03/downloadTac
09-03-2016,ORDINARIA,01,02,https://www.senado.gov.ar/parlamentario/sesiones/09-03-2016/02/downloadTac
01-03-2016,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2016/00/downloadTac
23-02-2016,EXTRAORDINARIA,02,15,https://www.senado.gov.ar/parlamentario/sesiones/23-02-2016/15/downloadTac
23-02-2016,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/23-02-2016/01/downloadTac
11-02-2016,EXTRAORDINARIA,01,14,https://www.senado.gov.ar/parlamentario/sesiones/11-02-2016/14/downloadTac
10-12-2015,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/10-12-2015/00/downloadTac
09-12-2015,EN MINORÍA,00,13,https://www.senado.gov.ar/parlamentario/sesiones/09-12-2015/13/downloadTac
04-12-2015,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/04-12-2015/00/downloadTac
03-12-2015,ESPECIAL,01,12,https://www.senado.gov.ar/parlamentario/sesiones/03-12-2015/12/downloadTac
25-11-2015,ORDINARIA,10,11,https://www.senado.gov.ar/parlamentario/sesiones/25-11-2015/11/downloadTac
04-11-2015,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/04-11-2015/00/downloadTac
28-10-2015,ORDINARIA,09,10,https://www.senado.gov.ar/parlamentario/sesiones/28-10-2015/10/downloadTac
07-10-2015,ORDINARIA,08,09,https://www.senado.gov.ar/parlamentario/sesiones/07-10-2015/09/downloadTac
16-09-2015,ORDINARIA,07,08,https://www.senado.gov.ar/parlamentario/sesiones/16-09-2015/08/downloadTac
26-08-2015,ORDINARIA,06,07,https://www.senado.gov.ar/parlamentario/sesiones/26-08-2015/07/downloadTac
29-07-2015,ORDINARIA,05,06,https://www.senado.gov.ar/parlamentario/sesiones/29-07-2015/06/downloadTac
16-07-2015,REUNIÓN CONJ.AMBAS CÁMARAS,00,00,https://www.senado.gov.ar/parlamentario/sesiones/16-07-2015/00/downloadTac
01-07-2015,ORDINARIA,04,05,https://www.senado.gov.ar/parlamentario/sesiones/01-07-2015/05/downloadTac
27-05-2015,ORDINARIA,03,04,https://www.senado.gov.ar/parlamentario/sesiones/27-05-2015/04/downloadTac
15-04-2015,ORDINARIA,02,03,https://www.senado.gov.ar/parlamentario/sesiones/15-04-2015/03/downloadTac
11-03-2015,ORDINARIA,01,02,https://www.senado.gov.ar/parlamentario/sesiones/11-03-2015/02/downloadTac
01-03-2015,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2015/00/downloadTac
27-02-2015,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/27-02-2015/01/downloadTac
12-02-2015,ESPECIAL,11,24,https://www.senado.gov.ar/parlamentario/sesiones/12-02-2015/24/downloadTac
29-12-2014,ESPECIAL,10,23,https://www.senado.gov.ar/parlamentario/sesiones/29-12-2014/23/downloadTac
17-12-2014,ORDINARIA,12,22,https://www.senado.gov.ar/parlamentario/sesiones/17-12-2014/22/downloadTac
10-12-2014,ORDINARIA,11,21,https://www.senado.gov.ar/parlamentario/sesiones/10-12-2014/21/downloadTac
03-12-2014,ORDINARIA,10,20,https://www.senado.gov.ar/parlamentario/sesiones/03-12-2014/20/downloadTac
19-11-2014,ESPECIAL,09,19,https://www.senado.gov.ar/parlamentario/sesiones/19-11-2014/19/downloadTac
29-10-2014,ORDINARIA,09,18,https://www.senado.gov.ar/parlamentario/sesiones/29-10-2014/18/downloadTac
22-10-2014,INFORMATIVA ESPECIAL,08,17,https://www.senado.gov.ar/parlamentario/sesiones/22-10-2014/17/downloadTac
22-10-2014,ORDINARIA,08,16,https://www.senado.gov.ar/parlamentario/sesiones/22-10-2014/16/downloadTac
08-10-2014,ESPECIAL,07,15,https://www.senado.gov.ar/parlamentario/sesiones/08-10-2014/15/downloadTac
17-09-2014,ORDINARIA,07,14,https://www.senado.gov.ar/parlamentario/sesiones/17-09-2014/14/downloadTac
03-09-2014,ESPECIAL,06,13,https://www.senado.gov.ar/parlamentario/sesiones/03-09-2014/13/downloadTac
06-08-2014,INFORMATIVA ESPECIAL,05,12,https://www.senado.gov.ar/parlamentario/sesiones/06-08-2014/12/downloadTac
10-07-2014,ESPECIAL,04,11,https://www.senado.gov.ar/parlamentario/sesiones/10-07-2014/11/downloadTac
02-07-2014,ORDINARIA,06,10,https://www.senado.gov.ar/parlamentario/sesiones/02-07-2014/10/downloadTac
28-05-2014,ORDINARIA,05,09,https://www.senado.gov.ar/parlamentario/sesiones/28-05-2014/09/downloadTac
21-05-2014,ORDINARIA,04,08,https://www.senado.gov.ar/parlamentario/sesiones/21-05-2014/08/downloadTac
12-05-2014,REUNIÓN CONJ.AMBAS CÁMARAS,00,00,https://www.senado.gov.ar/parlamentario/sesiones/12-05-2014/00/downloadTac
07-05-2014,INFORMATIVA ESPECIAL,03,07,https://www.senado.gov.ar/parlamentario/sesiones/07-05-2014/07/downloadTac
30-04-2014,ORDINARIA,03,06,https://www.senado.gov.ar/parlamentario/sesiones/30-04-2014/06/downloadTac
